groupId,compound,compoundId,formula,sample,adductName,peakMz,mzmin,mzmax,rt,rtmin,rtmax,quality,peakIntensity,peakArea,peakSplineArea,peakAreaTop,peakAreaCorrected,peakAreaTopCorrected,noNoiseObs,signalBaseLineRatio,fromBlankSample
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_07,,84.883003,84.883003,84.883003,3.725,3.694,3.866,0.048,1788.31,26085.05,18977.41,1596.74,3032.18,290.14,14,1.03,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_08,,84.883003,84.883003,84.883003,3.706,3.695,3.867,0.048,1958.42,25571.31,18055.01,1733.16,3720.80,549.21,15,1.28,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_09,,84.883003,84.883003,84.883003,3.689,3.689,3.861,0.047,1662.83,24516.02,17927.78,1660.36,3846.44,497.03,16,1.00,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_10,,84.883003,84.883003,84.883003,3.760,3.688,3.860,0.079,2061.81,25014.01,18030.29,1750.35,4095.46,580.13,13,1.25,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_100,,84.883003,84.883003,84.883003,3.699,3.689,3.861,0.047,5789.96,90829.41,65227.22,5328.20,9742.97,793.38,16,1.16,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_101,,84.883003,84.883003,84.883003,3.811,3.689,3.861,0.098,6693.74,89945.63,64790.73,6269.60,14592.14,2058.54,16,1.45,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_102,,84.883003,84.883003,84.883003,3.811,3.689,3.861,0.081,5377.74,83991.94,60143.33,5088.67,9196.86,935.29,17,1.09,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_103,,84.883003,84.883003,84.883003,3.802,3.690,3.862,0.102,6712.08,98222.60,70743.75,6262.56,17116.63,1753.58,18,1.34,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_104,,84.883003,84.883003,84.883003,3.790,3.689,3.861,0.158,6116.94,92506.55,66052.62,5906.83,12630.81,1469.91,17,1.18,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_105,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.102,7395.27,96657.88,69801.51,6807.92,12244.68,2111.60,16,1.39,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_106,,84.883003,84.883003,84.883003,3.820,3.688,3.860,0.135,5708.21,85794.91,62012.56,5404.20,9969.63,1191.85,16,1.23,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_107,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.055,5774.55,85048.05,61059.40,5197.22,11363.51,1125.19,16,1.36,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_108,,84.883003,84.883003,84.883003,3.719,3.688,3.860,0.060,5535.73,86417.38,62063.28,5277.39,9925.29,1017.67,17,1.12,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_109,,84.883003,84.883003,84.883003,3.811,3.689,3.861,0.086,6456.60,93847.96,67462.41,6069.32,10440.81,1430.15,17,1.27,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_11,,84.883003,84.883003,84.883003,3.747,3.695,3.867,0.071,2455.93,34008.71,24288.19,2280.76,6918.81,775.76,18,1.11,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_110,,84.883003,84.883003,84.883003,3.800,3.689,3.861,0.126,11995.07,129558.80,92666.20,11086.12,35951.48,5885.71,18,1.94,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_111,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.194,6369.68,93299.73,67816.19,6023.12,9528.23,1366.52,16,1.25,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_112,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.109,6503.42,99846.38,71875.66,6258.21,15524.00,1566.08,16,1.12,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_113,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.130,8217.64,111501.14,79909.38,7827.07,20190.70,2744.45,16,1.41,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_114,,84.883003,84.883003,84.883003,3.730,3.689,3.861,0.057,5386.18,88744.71,63564.26,5203.09,10661.82,865.15,18,1.09,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_115,,84.883003,84.883003,84.883003,3.711,3.690,3.862,0.047,5308.33,85523.51,61373.02,5144.42,7767.02,790.71,16,1.08,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_116,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.156,6344.90,97561.21,70017.50,6075.70,12656.21,1361.26,16,1.11,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_117,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.124,6417.08,96824.76,69449.20,6177.96,15087.96,1620.37,17,1.10,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_118,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.135,7553.28,102109.27,73346.81,7045.34,17679.02,2338.34,15,1.36,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_119,,84.883003,84.883003,84.883003,3.801,3.689,3.861,0.116,6986.14,96443.47,69999.57,6671.39,13883.11,2071.65,17,1.22,0
1,2-methyl-4-oxopentanoic acid,2-methyl-4-oxopentanoic acid,,mtab_BIOSSCOPE_temporal_2023_061223_12,,84.883003,84.883003,84.883003,3.820,3.688,3.860,0.072,1792.08,26720.68,19293.46,1679.07,3482.14,385.95,15,1.16,0
