polarity,compound,precursorMZ,productMZ,expectedRt
-,2_3 dihydroxypropane-1-sulfonate,155,79.8,0.49
-,2_3 dihydroxypropane-1-sulfonate confirm,155,94.8,0.49
-,2_3-dihydroxybenzoic acid,153,108.883,4.48
-,2_3-dihydroxybenzoic acid confirm,153,90.883,4.48
+,2-deoxycytidine pos,228,111.883,0.99
+,2-deoxycytidine pos confirm,228,94.8,0.99
-,2-deoxyinosine,251,134.883,2.5
-,2-deoxyinosine confirm,251,107.883,2.5
-,2-deoxyuridine,227,183.967,2.3
-,2-deoxyuridine confirm,227,41.8,2.3
-,2-methyl-4-oxopentanoic acid,129,84.967,4
-,2-methyl-4-oxopentanoic acid confirm,129,110.967,4
-,2-oxohexanoic acid,129,84.883,4
-,2-oxohexanoic acid confirm,129,100.967,4
-,3_3-dimethyl-2-oxobutanoic acid,129,84.883,4
-,3_3-dimethyl-2-oxobutanoic acid confirm,129,100.967,4
-,3-deoxy-2-keto-6-phosphogluconate,257,96.8,1.15
-,3-deoxy-2-keto-6-phosphogluconate confirm,257,140.883,1.15
-,3-hydroxybenzoic acid,137,92.883,4.35
-,3-hydroxybenzoic acid confirm,137,64.8,4.35
-,3-mercapto propionate,209,104.883,5.05
-,3-mercapto propionate confirm,209,136.8,5.05
-,3-methyl-2-oxobutanoic acid,115,70.883,2.25
-,3-methyl-2-oxobutanoic acid confirm,115,96.717,2.25
-,3-methyl-2-oxopentanoic acid,129,84.883,4.35
-,3-methyl-2-oxopentanoic acid confirm,129,100.967,4.35
+,4-aminobenzoic acid,138,76.883,3.3
+,4-aminobenzoic acid confirm,138,93.967,3.3
-,4-hydroxybenzoic acid,137,92.883,4.31
-,4-hydroxybenzoic acid confirm,137,64.883,4.31
-,4-hydroxybenzoic acid d4 neg,141,96.883,4
-,4-hydroxybenzoic acid d4 neg confirm,141,68.883,4
-,4-methyl-2-oxopentanoic acid,129,84.883,4.35
-,4-methyl-2-oxopentanoic acid confirm,129,127.133,4.35
+,5-hydroxy-L-tryptophan204,204,161.967,2.9
+,5-hydroxy-L-tryptophan204 confirm,204,133.967,2.9
+,6-hydroxymelatonin,249,189.967,4.8
+,6-hydroxymelatonin confirm,249,157.967,4.8
-,6-phosphogluconic acid,275,78.8,0.5
-,6-phosphogluconic acid confirm,275,96.8,0.5
-,6-phosphogluconic acid confirm2,275,176.883,14.88
-,acetyltaurine,166,79.8,0.61
-,acetyltaurine confirm,166,106.8,0.61
+,adenine pos,136,118.883,0.8
+,adenine pos confirm,136,64.883,0.8
+,adenosine 5'-monophosphate pos,348,135.967,0.8
+,adenosine 5'-monophosphate pos confirm,348,118.883,0.8
+,adenosine pos,268,135.967,2.605
+,adenosine pos confirm,268,118.883,2.605
-,alpha-ketoglutaric acid,145,100.883,0.8
-,alpha-ketoglutaric acid confirm,145,56.883,0.8
+,AmMP,139,80.883,0.46
+,AmMP confirm,139,121.967,0.46
+,anthranilate,120,91.967,4.88
+,anthranilate confirm,120,64.883,4.88
+,arginine,175,69.883,0.465
+,arginine confirm,175,129.967,0.465
+,arginosuccinic acid pos,291,69.967,0.5
+,arginosuccinic acid pos confirm,291,115.967,0.5
+,asparagine,133,73.883,0.5
+,asparagine confirm,133,86.967,0.5
-,aspartic acid neg,132,87.883,0.5
-,aspartic acid neg confirm,132,114.883,0.5
-,biotin neg,243,199.967,4.57
-,biotin neg confirm,243,165.967,4.57
+,biotin pos,245,226.967,4.57
+,biotin pos confirm,245,96.883,4.57
+,caffeine,195,137.967,4.3
+,caffeine confirm,195,109.967,4.3
+,carnitine,162,102.883,0.54
+,carnitine confirm,162,59.967,0.54
-,cholic acid d4 neg,411,347.217,7.5
-,cholic acid d4 neg confirm,411,290.133,7.5
+,choline,104,59.967,0.5
+,choline confirm,104,44.967,0.5
-,chorismate,207,178.967,4
-,chorismate confirm,207,136.883,4
+,ciliatine,126,108.883,0.5
+,ciliatine confirm,126,80.8,0.5
-,citric acid,191,110.883,1.1
-,citric acid confirm,191,86.8,1.1
+,citrulline,176,158.967,0.49
+,citrulline confirm,176,69.967,0.49
+,cyanocobalamin,678,146.967,4.24
+,cyanocobalamin confirm,678,358.967,4.24
-,cysteate,168,150.8,0.5
-,cysteate confirm,168,80.8,0.5
+,cysteine,122,58.883,0.5
+,cysteine confirm,122,75.883,0.5
+,cystine,241,151.883,0.5
+,cystine confirm,241,73.883,0.5
+,cytidine pos,244,111.967,0.84
+,cytidine pos confirm,244,94.883,0.84
+,cytosine,112,94.883,0.5
+,cytosine confirm,112,68.883,0.5
-,d2-biotin neg,245,201.967,4.7
-,d2-biotin neg confirm,245,167.967,4.7
+,d2-biotin pos,247,228.967,4.7
+,d2-biotin pos confirm,247,98.967,4.7
+,desthiobiotin,215,197.05,4.88
+,desthiobiotin confirm,215,178.967,4.88
+,diacetylchitobiose,425,203.967,0.57
+,diacetylchitobiose confirm,425,125.967,0.57
-,dihydroxyacetone phosphate,169,96.8,0.5
