polarity,compound,precursorMZ,productMZ,expectedRt
-,3-mercapto propionate,209,104.883,5.05
-,3-mercapto propionate confirm,209,136.8,5.05
-,4-hydroxybenzoic acid d4 neg,141,96.883,4
-,4-hydroxybenzoic acid d4 neg confirm,141,68.883,4
+,6-hydroxymelatonin,249,189.967,4.8
+,6-hydroxymelatonin confirm,249,157.967,4.8
-,cholic acid d4 neg mix8,411,347.217,7.5
-,cholic acid d4 neg mix8 confirm,411,290.133,7.5
+,cysteine,122,58.883,0.5
+,cysteine confirm,122,75.883,0.5
-,d2-biotin neg mix8,245,201.967,4.7
-,d2-biotin neg mix8 confirm,245,167.967,4.7
+,d2-biotin pos mix8,247,228.967,4.7
+,d2-biotin pos mix8 confirm,247,98.967,4.7
-,glutamic acid d3 neg mix8,149,104.967,0.5
-,glutamic acid d3 neg mix8 confirm,149,129.967,0.5
+,glutamic acid d3 pos mix8,151,86.967,0.5
+,glutamic acid d3 pos mix8 confirm,151,104.967,0.5
+,glutathione pos,308,178.967,0.9
+,glutathione pos confirm,308,161.883,0.9
+,guanosine pos,284,151.967,2.9
+,guanosine pos confirm,284,134.883,2.9
+,homocysteine,136,89.883,0.63
+,homocysteine confirm,136,55.967,0.63
+,indole-3-acetic acid d7 pos mix8,183,135.967,5.75
+,indole-3-acetic acid d7 pos mix8 confirm,183,134.967,5.75
+,niacin,124,79.883,1
+,niacin confirm,124,77.883,1
-,succinic acid d6 neg mix8,121,76.883,1.2
-,succinic acid d6 neg mix8 confirm,121,101.883,1.2
-,taurocholic acid d5 mix8,519,79.8,6.5
-,taurocholic acid d5 mix8 confirm,519,501.3,6.5
+,tetrahydrobiopterin240,240,195.967,1.3
+,tetrahydrobiopterin240 confirm,240,164.967,1.3
